date,path,title,count,uniques
2021-08-19,/hessevans/databoxtestrepo,hessevans/databoxtestrepo: This is a test repository for the GitHub web traff...,3,3
2021-08-19,/hessevans/databoxtestrepo/actions,Actions · hessevans/databoxtestrepo · GitHub,1,1
2021-08-19,/hessevans/databoxtestrepo/blob/main/README.md,databoxtestrepo/README.md at main · hessevans/databoxtestrepo · GitHub,1,1
2021-08-19,/hessevans/databoxtestrepo/issues,Issues · hessevans/databoxtestrepo · GitHub,1,1
2021-08-19,/hessevans/databoxtestrepo/projects,Projects · hessevans/databoxtestrepo · GitHub,1,1
2021-08-19,/hessevans/databoxtestrepo/pulls,Pull requests · hessevans/databoxtestrepo · GitHub,1,1
2021-08-19,/hessevans/databoxtestrepo/releases,Releases · hessevans/databoxtestrepo · GitHub,1,1
2021-08-19,/hessevans/dboxtestrepo,hessevans/dboxtestrepo · GitHub,3,3
2021-08-19,/hessevans/test1,hessevans/test1,47,5
2021-08-19,/hessevans/test1/tree/main/data,test1/data at main · hessevans/test1,25,3
2021-08-19,/hessevans/test1/blob/main/.github/workflows/gh-pages-deploy.yml,test1/gh-pages-deploy.yml at main · hessevans/test1,13,2
2021-08-19,/hessevans/test1/tree/main/.github/workflows,test1/.github/workflows at main · hessevans/test1,13,2
2021-08-19,/hessevans/test1/blob/main/data/merged_clone.csv,test1/merged_clone.csv at main · hessevans/test1,6,2
2021-08-19,/hessevans/test1/blob/main/data/2021-08-06-06h-14m-traffic-stats.csv,test1/2021-08-06-06h-14m-traffic-stats.csv at main · hessevans/test1,4,2
2021-08-19,/hessevans/test1/tree/main/docs,test1/docs at main · hessevans/test1,4,2
2021-08-19,/hessevans/test1/blob/main/data/2021-07-31-03h-17m-paths-stats.csv,test1/2021-07-31-03h-17m-paths-stats.csv at main · hessevans/test1,4,1
2021-08-19,/hessevans/test1/issues,Issues · hessevans/test1 · GitHub,3,3
2021-08-19,/hessevans/test1/blob/main/data/2021-07-31-03h-17m-clone-stats.csv,test1/2021-07-31-03h-17m-clone-stats.csv at main · hessevans/test1,3,2
