date,path,title,count,uniques
2021-08-02,/hessevans/databoxtestrepo,hessevans/databoxtestrepo: This is a test repository for the GitHub web traff...,4,1
2021-08-02,/hessevans/databoxtestrepo/graphs/traffic,Traffic · hessevans/databoxtestrepo,4,1
2021-08-02,/hessevans/databoxtestrepo/pulse,Pulse · hessevans/databoxtestrepo,3,1
2021-08-02,/hessevans/databoxtestrepo/projects,Projects · hessevans/databoxtestrepo,1,1
2021-08-02,/hessevans/databoxtestrepo/pulls,Pull requests · hessevans/databoxtestrepo,1,1
2021-08-02,/hessevans/dboxtestrepo,hessevans/dboxtestrepo,1,1
2021-08-02,/hessevans/test1,hessevans/test1,6,2
2021-08-02,/hessevans/test1/blob/main/.github/workflows/gh-pages-deploy.yml,test1/gh-pages-deploy.yml at main · hessevans/test1,1,1
2021-08-02,/hessevans/test1/commit/8fe7cb3f0fc514c2aad6fd5aac19bd2de7aae595,Initial commit · hessevans/test1@8fe7cb3,1,1
2021-08-02,/hessevans/test1/tree/main/.github/workflows,test1/.github/workflows at main · hessevans/test1,1,1
