date,path,title,count,uniques
2021-08-12,/hessevans/databoxtestrepo,hessevans/databoxtestrepo: This is a test repository for the GitHub web traff...,2,1
2021-08-12,/hessevans/databoxtestrepo/graphs/traffic,Traffic · hessevans/databoxtestrepo,1,1
2021-08-12,/hessevans/databoxtestrepo/pulse,Pulse · hessevans/databoxtestrepo,1,1
2021-08-12,/hessevans/dboxtestrepo,hessevans/dboxtestrepo,2,2
2021-08-12,/hessevans/test1,hessevans/test1,73,6
2021-08-12,/hessevans/test1/blob/main/.github/workflows/gh-pages-deploy.yml,test1/gh-pages-deploy.yml at main · hessevans/test1,23,2
2021-08-12,/hessevans/test1/tree/main/data,test1/data at main · hessevans/test1 · GitHub,21,4
2021-08-12,/hessevans/test1/tree/main/.github/workflows,test1/.github/workflows at main · hessevans/test1,21,2
2021-08-12,/hessevans/test1/tree/main,hessevans/test1,5,2
2021-08-12,/hessevans/test1/blob/main/data/2021-08-06-06h-14m-traffic-stats.csv,test1/2021-08-06-06h-14m-traffic-stats.csv at main · hessevans/test1,4,2
2021-08-12,/hessevans/test1/tree/gh-pages,hessevans/test1 at gh-pages,4,2
2021-08-12,/hessevans/test1/tree/main/docs,test1/docs at main · hessevans/test1,4,2
2021-08-12,/hessevans/test1/issues,Issues · hessevans/test1,3,2
2021-08-12,/hessevans/test1/pulls,Pull requests · hessevans/test1,3,2
