date,path,title,count,uniques
2021-08-05,/hessevans/databoxtestrepo,hessevans/databoxtestrepo: This is a test repository for the GitHub web traff...,4,1
2021-08-05,/hessevans/databoxtestrepo/graphs/traffic,Traffic · hessevans/databoxtestrepo,4,1
2021-08-05,/hessevans/databoxtestrepo/pulse,Pulse · hessevans/databoxtestrepo,3,1
2021-08-05,/hessevans/databoxtestrepo/projects,Projects · hessevans/databoxtestrepo,1,1
2021-08-05,/hessevans/databoxtestrepo/pulls,Pull requests · hessevans/databoxtestrepo,1,1
2021-08-05,/hessevans/dboxtestrepo,hessevans/dboxtestrepo,1,1
2021-08-05,/hessevans/final-template,hessevans/final-template,3,2
2021-08-05,/hessevans/final-template/actions/runs/1092532670,Initial commit · hessevans/final-template@35bc2b2 · GitHub,1,1
2021-08-05,/hessevans/final-template/blob/main/.github/workflows/gh-pages-deploy.yml,final-template/gh-pages-deploy.yml at main · hessevans/final-template · GitHub,1,1
2021-08-05,/hessevans/final-template/commit/ac653a160729624e46f6588d4e21116d087e9521,Initialize gh-pages · hessevans/final-template@ac653a1,1,1
2021-08-05,/hessevans/final-template/find/main,File Finder · GitHub,1,1
2021-08-05,/hessevans/final-template/tree/gh-pages,hessevans/final-template at gh-pages,1,1
2021-08-05,/hessevans/final-template/tree/main/.github/workflows,final-template/.github/workflows at main · hessevans/final-template · GitHub,1,1
2021-08-05,/hessevans/test1,hessevans/test1,23,3
2021-08-05,/hessevans/test1/tree/main/data,test1/data at main · hessevans/test1 · GitHub,6,2
2021-08-05,/hessevans/test1/blob/main/.github/workflows/gh-pages-deploy.yml,test1/gh-pages-deploy.yml at main · hessevans/test1,5,1
2021-08-05,/hessevans/test1/tree/main/.github/workflows,test1/.github/workflows at main · hessevans/test1,5,1
2021-08-05,/hessevans/test1/tree/main,hessevans/test1,3,1
2021-08-05,/hessevans/test1/commit/8fe7cb3f0fc514c2aad6fd5aac19bd2de7aae595,Initial commit · hessevans/test1@8fe7cb3,2,1
2021-08-05,/hessevans/test1/commits,Commits · hessevans/test1,2,1
2021-08-05,/hessevans/test1/blob/main/data/2021-08-03-03h-17m-traffic-stats.csv,test1/2021-08-03-03h-17m-traffic-stats.csv at main · hessevans/test1 · GitHub,1,1
2021-08-05,/hessevans/test1/branches,Branches · hessevans/test1,1,1
2021-08-05,/hessevans/test1/commits/main,Commits · hessevans/test1,1,1
